bus_stop_code,current_time,duration,hour,round,day,minute,time
0100701012,12:58:05,715,12,0,0,58,15
0101201022,13:10:00,421,13,0,0,10,15
0102201027,13:17:01,60,13,0,0,17,16
0102701029,13:18:01,421,13,0,0,18,16
0102901036,13:25:02,1192,13,0,0,25,16
0103701041,13:52:04,421,13,0,0,52,17
0104101046,13:59:05,595,13,0,0,59,17
0104601051,14:09:00,241,14,0,0,9,17
0105101052,14:13:01,180,14,0,0,13,18
0105201053,14:16:01,120,14,0,0,16,18
0105301057,14:18:01,661,14,0,0,18,18
0105701061,14:29:02,60,14,0,0,29,18
0106101064,14:30:02,180,14,0,0,30,18
0106401071,14:33:02,1142,14,0,0,33,18
0100001001,15:14:01,60,15,0,0,14,20
0100101003,15:15:01,240,15,0,0,15,20
0100301006,15:19:01,361,15,0,0,19,20
0100601012,15:25:02,540,15,0,0,25,20
0101201013,15:34:02,121,15,0,0,34,20
0101301018,15:36:03,420,15,0,0,36,20
0101801019,15:43:03,120,15,0,0,43,21
0101901020,15:45:03,61,15,0,0,45,21
0102001021,15:46:04,120,15,0,0,46,21
0102101025,15:48:04,300,15,0,0,48,21
0102501027,15:53:04,180,15,0,0,53,21
0102701028,15:56:04,181,15,0,0,56,21
0102801029,15:59:05,114,15,0,0,59,21
0102901031,16:01:00,300,16,0,0,1,21
0103101036,16:06:00,661,16,0,0,6,21
0103701041,16:22:01,11161,16,0,0,22,22
0104101042,19:28:02,901,19,0,0,28,28
0104201043,19:43:03,181,19,0,0,43,29
0104301046,19:46:04,180,19,0,0,46,29
0104601048,19:49:04,120,19,0,0,49,29
0104801050,19:51:04,120,19,0,0,51,29
0105001051,19:53:04,181,19,0,0,53,29
0105101057,19:56:05,120,19,0,0,56,29
0105701059,19:58:05,235,19,0,0,58,29
0105901071,20:02:00,360,20,0,0,2,29
0100001001,07:39:03,120,7,0,2,39,4
0100101003,07:41:03,361,7,0,2,41,5
0100301004,07:47:04,60,7,0,2,47,5
0100401005,07:48:04,60,7,0,2,48,5
0100501006,07:49:04,120,7,0,2,49,5
0100601007,07:51:04,240,7,0,2,51,5
0100701012,07:55:04,836,7,0,2,55,5
0101201018,08:09:00,181,8,0,2,9,5
0101801019,08:12:01,60,8,0,2,12,6
0101901020,08:13:01,60,8,0,2,13,6
0102001021,08:14:01,120,8,0,2,14,6
0102101025,08:16:01,541,8,0,2,16,6
0102501026,08:25:02,120,8,0,2,25,6
0102601028,08:27:02,60,8,0,2,27,6
0102801029,08:28:02,180,8,0,2,28,6
0102901031,08:31:02,241,8,0,2,31,6
0103101033,08:35:03,180,8,0,2,35,6
0103301035,08:38:03,300,8,0,2,38,6
0103501036,08:43:03,599,8,0,2,43,7
0103701042,15:50:03,597,15,0,2,50,21
0104201053,16:00:00,1321,16,0,2,0,21
0105301057,16:22:01,301,16,0,2,22,22
0105701059,16:27:02,300,16,0,2,27,22
0105901071,16:32:02,1083,16,0,2,32,22
0100001001,16:57:05,60,16,0,2,57,23
0100101003,16:58:05,235,16,0,2,58,23
0100301004,17:02:00,120,17,0,2,2,23
0100401005,17:04:00,60,17,0,2,4,23
0100501021,17:05:00,1142,17,0,2,5,23
0102101022,17:24:02,240,17,0,2,24,24
0102201024,17:28:02,120,17,0,2,28,24
0102401028,17:30:02,301,17,0,2,30,24
0102801029,17:35:03,180,17,0,2,35,24
0102901036,17:38:03,1201,17,0,2,38,24
0103701042,18:10:00,601,18,0,2,10,25
0104201043,18:20:01,421,18,0,2,20,26
0104301046,18:27:02,721,18,0,2,27,26
0104601048,18:39:03,240,18,0,2,39,26
0104801051,18:43:03,181,18,0,2,43,27
0105101053,18:46:04,300,18,0,2,46,27
0105301057,18:51:04,716,18,0,2,51,27
0105701058,19:03:00,60,19,0,2,3,27
0105801071,19:04:00,1442,19,0,2,4,27
0100001001,07:34:02,121,7,0,3,34,4
0100101002,07:36:03,240,7,0,3,36,4
0100201003,07:40:03,60,7,0,3,40,5
0100301006,07:41:03,301,7,0,3,41,5
0100601007,07:46:04,60,7,0,3,46,5
0100701008,07:47:04,120,7,0,3,47,5
0100801012,07:49:04,360,7,0,3,49,5
0101201013,07:55:04,120,7,0,3,55,5
0101301018,07:57:04,416,7,0,3,57,5
0101801019,08:04:00,60,8,0,3,4,5
0101901021,08:05:00,120,8,0,3,5,5
0102101025,08:07:00,421,8,0,3,7,5
0102501027,08:14:01,120,8,0,3,14,6
0102701028,08:16:01,60,8,0,3,16,6
0102801035,08:17:01,841,8,0,3,17,6
0103501036,08:31:02,180,8,0,3,31,6
0103701045,08:47:04,661,8,0,3,47,7
0104501046,08:58:05,175,8,0,3,58,7
0104601048,09:01:00,180,9,0,3,1,7
0104801050,09:04:00,120,9,0,3,4,7
0105001052,09:06:00,60,9,0,3,6,7
0105201057,09:07:00,481,9,0,3,7,7
0105701071,09:15:01,1142,9,0,3,15,8
0100001001,10:10:00,121,10,0,3,10,9
0100101003,10:12:01,180,10,0,3,12,10
0100301004,10:15:01,60,10,0,3,15,10
0100401006,10:16:01,180,10,0,3,16,10
0100601008,10:19:01,120,10,0,3,19,10
0100801012,10:21:01,301,10,0,3,21,10
0101201014,10:26:02,120,10,0,3,26,10
0101401021,10:28:02,361,10,0,3,28,10
0102101022,10:34:03,300,10,0,3,34,10
0102201026,10:39:03,361,10,0,3,39,10
0102601027,10:45:04,60,10,0,3,45,11
0102701029,10:46:04,180,10,0,3,46,11
0102901031,10:49:04,240,10,0,3,49,11
0103101032,10:53:04,60,10,0,3,53,11
0103201035,10:54:04,356,10,0,3,54,11
0103501036,11:00:00,480,11,0,3,0,11
0103701038,11:18:01,120,11,0,3,18,12
0103801041,11:20:01,301,11,0,3,20,12
0104101045,11:25:02,240,11,0,3,25,12
0104501046,11:29:02,180,11,0,3,29,12
0104601048,11:32:02,181,11,0,3,32,12
0104801051,11:35:03,360,11,0,3,35,12
0105101057,11:41:03,361,11,0,3,41,13
0105701059,11:47:04,60,11,0,3,47,13
0105901071,11:48:04,1016,11,0,3,48,13
0100001001,12:28:02,180,12,0,3,28,14
0100101002,12:31:02,181,12,0,3,31,14
0100201003,12:34:03,60,12,0,3,34,14
0100301005,12:35:03,180,12,0,3,35,14
0100501006,12:38:03,120,12,0,3,38,14
0100601007,12:40:03,60,12,0,3,40,15
0100701009,12:41:03,120,12,0,3,41,15
0100901012,12:43:03,481,12,0,3,43,15
0101201021,12:51:04,240,12,0,3,51,15
0102101022,12:55:04,296,12,0,3,55,15
0102201024,13:00:00,180,13,0,3,0,15
0102401025,13:03:00,120,13,0,3,3,15
0102501029,13:05:00,300,13,0,3,5,15
0102901036,13:10:00,842,13,0,3,10,15
0103701038,13:42:03,121,13,0,3,42,17
0103801040,13:44:04,180,13,0,3,44,17
0104001048,13:47:04,60,13,0,3,47,17
0104801053,13:48:04,1376,13,0,3,48,17
0105301057,14:11:00,601,14,0,3,11,18
0105701059,14:21:01,181,14,0,3,21,18
0105901071,14:24:02,1201,14,0,3,24,18
0100001002,15:07:00,180,15,0,3,7,19
0100201003,15:10:00,61,15,0,3,10,19
0100301005,15:11:01,120,15,0,3,11,20
0100501006,15:13:01,120,15,0,3,13,20
0100601007,15:15:01,120,15,0,3,15,20
0100701012,15:17:01,421,15,0,3,17,20
0101201013,15:24:02,60,15,0,3,24,20
0101301019,15:25:02,541,15,0,3,25,20
0101901021,15:34:03,120,15,0,3,34,20
0102101023,15:36:03,120,15,0,3,36,20
0102301024,15:38:03,180,15,0,3,38,20
0102401025,15:41:03,60,15,0,3,41,21
0102501026,15:42:03,60,15,0,3,42,21
0102601028,15:43:03,60,15,0,3,43,21
0102801029,15:44:03,121,15,0,3,44,21
0102901033,15:46:04,300,15,0,3,46,21
0103301035,15:51:04,300,15,0,3,51,21
0103501036,15:56:04,181,15,0,3,56,21
0103701041,18:12:01,540,18,0,3,12,26
0104101048,18:21:01,60,18,0,3,21,26
0104801049,18:22:01,901,18,0,3,22,26
0104901051,18:37:03,240,18,0,3,37,26
0105101052,18:41:03,180,18,0,3,41,27
0105201053,18:44:03,121,18,0,3,44,27
0105301057,18:46:04,661,18,0,3,46,27
0105701059,18:57:05,60,18,0,3,57,27
0105901061,18:58:05,175,18,0,3,58,27
0106101062,19:01:00,180,19,0,3,1,27
0106201064,19:04:00,120,19,0,3,4,27
0106401065,19:06:00,300,19,0,3,6,27
0106501067,19:11:00,61,19,0,3,11,28
0106701068,19:12:01,60,19,0,3,12,28
0106801069,19:13:01,60,19,0,3,13,28
0106901071,19:14:01,300,19,0,3,14,28
0100001001,07:20:14,120,7,0,4,20,4
0100101002,07:22:14,180,7,0,4,22,4
0100201003,07:25:14,61,7,0,4,25,4
0100301005,07:26:15,60,7,0,4,26,4
0100501006,07:27:15,180,7,0,4,27,4
0100601007,07:30:15,180,7,0,4,30,4
0100701008,07:33:15,60,7,0,4,33,4
0100801012,07:34:15,601,7,0,4,34,4
0101201018,07:44:16,120,7,0,4,44,5
0101801020,07:46:16,121,7,0,4,46,5
0102001021,07:48:17,60,7,0,4,48,5
0102101022,07:49:17,120,7,0,4,49,5
0102201026,07:51:17,360,7,0,4,51,5
0102601027,07:57:17,60,7,0,4,57,5
0102701028,07:58:17,61,7,0,4,58,5
0102801031,07:59:18,42,7,0,4,59,5
0103101035,08:00:00,480,8,0,4,0,5
0103501036,08:08:00,241,8,0,4,8,5
0103701046,08:31:02,1022,8,0,4,31,6
0104601047,08:48:04,60,8,0,4,48,7
0104701048,08:49:04,120,8,0,4,49,7
0104801051,08:51:04,60,8,0,4,51,7
0105101052,08:52:04,180,8,0,4,52,7
0105201053,08:55:04,60,8,0,4,55,7
0105301057,08:56:04,596,8,0,4,56,7
0105701059,09:06:00,60,9,0,4,6,7
0105901061,09:07:00,120,9,0,4,7,7
0106101071,09:09:00,1082,9,0,4,9,7
0100001001,09:44:03,121,9,0,4,44,9
0100101002,09:46:04,240,9,0,4,46,9
0100201003,09:50:04,60,9,0,4,50,9
0100301006,09:51:04,180,9,0,4,51,9
0100601008,09:54:04,241,9,0,4,54,9
0100801009,09:58:05,60,9,0,4,58,9
0100901014,09:59:05,415,9,0,4,59,9
0101401018,10:06:00,301,10,0,4,6,9
0101801019,10:11:01,60,10,0,4,11,10
0101901021,10:12:01,240,10,0,4,12,10
0102101022,10:16:01,60,10,0,4,16,10
0102201026,10:17:01,60,10,0,4,17,10
0102601027,10:18:01,301,10,0,4,18,10
0102701028,10:23:02,60,10,0,4,23,10
0102801029,10:24:02,180,10,0,4,24,10
0102901031,10:27:02,120,10,0,4,27,10
0103101035,10:29:02,421,10,0,4,29,10
0103501036,10:36:03,301,10,0,4,36,10
0103701038,10:56:05,180,10,0,4,56,11
0103801049,10:59:05,175,10,0,4,59,11
0104901051,11:02:00,901,11,0,4,2,11
0105101052,11:17:01,120,11,0,4,17,12
0105201057,11:19:01,541,11,0,4,19,12
0105701059,11:28:02,60,11,0,4,28,12
0105901062,11:29:02,180,11,0,4,29,12
0106201064,11:32:02,121,11,0,4,32,12
0106401065,11:34:03,180,11,0,4,34,12
0106501066,11:37:03,60,11,0,4,37,12
0106601068,11:38:03,180,11,0,4,38,12
0106801070,11:41:03,120,11,0,4,41,13
0107001071,11:43:03,241,11,0,4,43,13
0100101003,12:16:01,301,12,0,4,16,14
0100301005,12:21:02,60,12,0,4,21,14
0100501006,12:22:02,120,12,0,4,22,14
0100601008,12:24:02,120,12,0,4,24,14
0100801009,12:26:02,120,12,0,4,26,14
0100901012,12:28:02,301,12,0,4,28,14
0101201013,12:33:03,60,12,0,4,33,14
0101301018,12:34:03,480,12,0,4,34,14
0101801019,12:42:03,61,12,0,4,42,15
0101901024,12:43:04,60,12,0,4,43,15
0102401027,12:44:04,240,12,0,4,44,15
0102701028,12:48:04,240,12,0,4,48,15
0102801029,12:52:04,121,12,0,4,52,15
0102901031,12:54:05,240,12,0,4,54,15
0103101035,12:58:05,175,12,0,4,58,15
0103501036,13:01:00,1006,13,0,4,1,15
0103701040,13:18:01,361,13,0,4,18,16
0104001041,13:24:02,180,13,0,4,24,16
0104101043,13:27:02,120,13,0,4,27,16
0104301045,13:29:02,120,13,0,4,29,16
0104501046,13:31:02,241,13,0,4,31,16
0104601051,13:35:03,540,13,0,4,35,16
0105101057,13:44:03,481,13,0,4,44,17
0105701062,13:52:04,60,13,0,4,52,17
0106201071,13:53:04,956,13,0,4,53,17
